info: Server started at port : 8080 {"timestamp":"2025-08-28T05:23:40.316Z"}
info: Database synced successfully {"timestamp":"2025-08-28T05:23:41.867Z"}
info: POST /users/search | User: sameer_13 | Status: 200 | 160ms {"timestamp":"2025-08-28T05:26:00.964Z"}
info: GET /uploads/1756103440677-image.jpeg | User: Anonymous | Status: 304 | 0ms {"timestamp":"2025-08-28T05:26:00.970Z"}
info: POST /follow/add | User: sameer_13 | Status: 202 | 12ms {"timestamp":"2025-08-28T05:26:02.815Z"}
info: GET /users/getCurrentuser | User: sameer_13 | Status: 304 | 164ms {"timestamp":"2025-08-28T05:26:02.983Z"}
info: POST /post/getFeeds | User: sameer_13 | Status: 200 | 154ms {"timestamp":"2025-08-28T05:26:04.483Z"}
info: GET /uploads/1756094784290-image.jpeg | User: Anonymous | Status: 304 | 1ms {"timestamp":"2025-08-28T05:26:04.494Z"}
info: GET /uploads/1756094809715-image.jpeg | User: Anonymous | Status: 304 | 0ms {"timestamp":"2025-08-28T05:26:04.494Z"}
info: GET /uploads/1756054540618-image.jpeg | User: Anonymous | Status: 304 | 0ms {"timestamp":"2025-08-28T05:26:04.495Z"}
info: GET /uploads/1756101251294-image.webp | User: Anonymous | Status: 304 | 1ms {"timestamp":"2025-08-28T05:26:04.496Z"}
info: GET /uploads/1756101152515-image.jpeg | User: Anonymous | Status: 304 | 0ms {"timestamp":"2025-08-28T05:26:04.496Z"}
info: GET /uploads/1756054592501-image.jpeg | User: Anonymous | Status: 304 | 0ms {"timestamp":"2025-08-28T05:26:04.496Z"}
info: GET /uploads/1755952069305-image.webp | User: Anonymous | Status: 304 | 1ms {"timestamp":"2025-08-28T05:26:04.497Z"}
info: GET /uploads/1756103496131-image.jpeg | User: Anonymous | Status: 304 | 1ms {"timestamp":"2025-08-28T05:26:04.497Z"}
info: GET /uploads/1755763343674-image.webp | User: Anonymous | Status: 304 | 0ms {"timestamp":"2025-08-28T05:26:04.497Z"}
info: GET /uploads/1755679093845-image.webp | User: Anonymous | Status: 304 | 1ms {"timestamp":"2025-08-28T05:26:04.498Z"}
info: GET /uploads/1755678081309-image.webp | User: Anonymous | Status: 304 | 0ms {"timestamp":"2025-08-28T05:26:04.498Z"}
info: POST /like/add | User: sameer_13 | Status: 201 | 389ms {"timestamp":"2025-08-28T05:26:07.767Z"}
info: POST /post/search | User: sameer_13 | Status: 200 | 171ms {"timestamp":"2025-08-28T05:26:12.848Z"}
info: POST /post/search | User: sameer_13 | Status: 200 | 22ms {"timestamp":"2025-08-28T05:26:16.526Z"}
info: POST /post/search | User: sameer_13 | Status: 200 | 161ms {"timestamp":"2025-08-28T05:26:17.403Z"}
info: POST /post/search | User: sameer_13 | Status: 200 | 23ms {"timestamp":"2025-08-28T05:26:22.558Z"}
info: POST /post/search | User: sameer_13 | Status: 200 | 21ms {"timestamp":"2025-08-28T05:26:26.663Z"}
info: POST /post/search | User: sameer_13 | Status: 200 | 9ms {"timestamp":"2025-08-28T05:26:28.709Z"}
info: POST /post/search | User: sameer_13 | Status: 200 | 21ms {"timestamp":"2025-08-28T05:26:31.490Z"}
info: POST /post/search | User: sameer_13 | Status: 200 | 173ms {"timestamp":"2025-08-28T05:26:32.488Z"}
info: GET /uploads/1756101152515-image.jpeg | User: Anonymous | Status: 304 | 1ms {"timestamp":"2025-08-28T05:26:32.492Z"}
info: GET /uploads/1756101251294-image.webp | User: Anonymous | Status: 304 | 1ms {"timestamp":"2025-08-28T05:26:32.493Z"}
info: POST /post/search | User: sameer_13 | Status: 200 | 22ms {"timestamp":"2025-08-28T05:26:38.032Z"}
info: POST /post/getFeeds | User: sameer_13 | Status: 200 | 187ms {"timestamp":"2025-08-28T05:26:43.343Z"}
info: GET /uploads/1756103440677-image.jpeg | User: Anonymous | Status: 304 | 1ms {"timestamp":"2025-08-28T05:26:43.355Z"}
info: GET /uploads/1756103496131-image.jpeg | User: Anonymous | Status: 304 | 0ms {"timestamp":"2025-08-28T05:26:43.356Z"}
info: GET /uploads/1755952069305-image.webp | User: Anonymous | Status: 304 | 0ms {"timestamp":"2025-08-28T05:26:43.357Z"}
info: GET /uploads/1756094784290-image.jpeg | User: Anonymous | Status: 304 | 1ms {"timestamp":"2025-08-28T05:26:43.358Z"}
info: GET /uploads/1755763343674-image.webp | User: Anonymous | Status: 304 | 0ms {"timestamp":"2025-08-28T05:26:43.359Z"}
info: GET /uploads/1756094809715-image.jpeg | User: Anonymous | Status: 304 | 1ms {"timestamp":"2025-08-28T05:26:43.360Z"}
info: GET /uploads/1755679093845-image.webp | User: Anonymous | Status: 304 | 1ms {"timestamp":"2025-08-28T05:26:43.360Z"}
info: GET /uploads/1756054540618-image.jpeg | User: Anonymous | Status: 304 | 0ms {"timestamp":"2025-08-28T05:26:43.360Z"}
info: GET /uploads/1755678081309-image.webp | User: Anonymous | Status: 304 | 0ms {"timestamp":"2025-08-28T05:26:43.360Z"}
info: GET /uploads/1756054592501-image.jpeg | User: Anonymous | Status: 304 | 0ms {"timestamp":"2025-08-28T05:26:43.361Z"}
info: POST /post/search | User: sameer_13 | Status: 200 | 22ms {"timestamp":"2025-08-28T05:26:44.227Z"}
info: POST /post/getFeeds | User: sameer_13 | Status: 200 | 178ms {"timestamp":"2025-08-28T05:26:45.274Z"}
info: POST /post/search | User: sameer_13 | Status: 200 | 28ms {"timestamp":"2025-08-28T05:26:45.713Z"}
info: POST /post/getFeeds | User: sameer_13 | Status: 200 | 142ms {"timestamp":"2025-08-28T05:26:47.262Z"}
info: Server started at port : 8080 {"timestamp":"2025-08-28T05:27:36.457Z"}
info: Database synced successfully {"timestamp":"2025-08-28T05:27:38.115Z"}
info: Server started at port : 8080 {"timestamp":"2025-08-28T05:27:42.368Z"}
info: Database synced successfully {"timestamp":"2025-08-28T05:27:43.883Z"}
info: POST /post/search | User: sameer_13 | Status: 200 | 280ms {"timestamp":"2025-08-28T05:27:47.723Z"}
info: POST /post/search | User: sameer_13 | Status: 200 | 150ms {"timestamp":"2025-08-28T05:27:48.209Z"}
info: POST /post/search | User: sameer_13 | Status: 200 | 154ms {"timestamp":"2025-08-28T05:27:50.157Z"}
info: POST /post/search | User: sameer_13 | Status: 200 | 77ms {"timestamp":"2025-08-28T05:27:53.381Z"}
info: POST /post/getFeeds | User: sameer_13 | Status: 200 | 178ms {"timestamp":"2025-08-28T05:27:55.203Z"}
info: GET /uploads/1756103440677-image.jpeg | User: Anonymous | Status: 304 | 4ms {"timestamp":"2025-08-28T05:27:55.219Z"}
info: GET /uploads/1756101251294-image.webp | User: Anonymous | Status: 304 | 1ms {"timestamp":"2025-08-28T05:27:55.221Z"}
info: GET /uploads/1755679093845-image.webp | User: Anonymous | Status: 304 | 2ms {"timestamp":"2025-08-28T05:27:55.223Z"}
info: GET /uploads/1756103496131-image.jpeg | User: Anonymous | Status: 304 | 1ms {"timestamp":"2025-08-28T05:27:55.224Z"}
info: GET /uploads/1755678081309-image.webp | User: Anonymous | Status: 304 | 1ms {"timestamp":"2025-08-28T05:27:55.225Z"}
info: GET /uploads/1756101152515-image.jpeg | User: Anonymous | Status: 304 | 1ms {"timestamp":"2025-08-28T05:27:55.225Z"}
info: GET /uploads/1755952069305-image.webp | User: Anonymous | Status: 304 | 1ms {"timestamp":"2025-08-28T05:27:55.227Z"}
info: GET /uploads/1755763343674-image.webp | User: Anonymous | Status: 304 | 1ms {"timestamp":"2025-08-28T05:27:55.228Z"}
info: POST /post/search | User: sameer_13 | Status: 200 | 58ms {"timestamp":"2025-08-28T05:27:55.960Z"}
info: POST /post/getFeeds | User: sameer_13 | Status: 200 | 156ms {"timestamp":"2025-08-28T05:27:59.199Z"}
info: POST /post/search | User: sameer_13 | Status: 200 | 50ms {"timestamp":"2025-08-28T05:28:00.351Z"}
info: POST /post/getFeeds | User: sameer_13 | Status: 200 | 138ms {"timestamp":"2025-08-28T05:28:01.673Z"}
info: POST /post/search | User: sameer_13 | Status: 200 | 174ms {"timestamp":"2025-08-28T05:28:08.831Z"}
info: POST /post/search | User: sameer_13 | Status: 200 | 51ms {"timestamp":"2025-08-28T05:28:12.434Z"}
info: POST /post/getFeeds | User: sameer_13 | Status: 200 | 143ms {"timestamp":"2025-08-28T05:28:12.580Z"}
info: POST /post/search | User: sameer_13 | Status: 200 | 45ms {"timestamp":"2025-08-28T05:28:15.037Z"}
info: POST /post/search | User: sameer_13 | Status: 200 | 155ms {"timestamp":"2025-08-28T05:28:15.948Z"}
info: POST /post/search | User: sameer_13 | Status: 200 | 48ms {"timestamp":"2025-08-28T05:28:17.491Z"}
info: POST /post/search | User: sameer_13 | Status: 200 | 41ms {"timestamp":"2025-08-28T05:28:17.965Z"}
info: POST /post/getFeeds | User: sameer_13 | Status: 200 | 146ms {"timestamp":"2025-08-28T05:28:22.639Z"}
info: GET /users/getCurrentuser | User: sameer_13 | Status: 200 | 150ms {"timestamp":"2025-08-28T05:28:22.640Z"}
info: GET /uploads/1756103440677-image.jpeg | User: Anonymous | Status: 304 | 1ms {"timestamp":"2025-08-28T05:28:22.643Z"}
info: GET /uploads/1756103496131-image.jpeg | User: Anonymous | Status: 304 | 1ms {"timestamp":"2025-08-28T05:28:22.644Z"}
info: GET /uploads/1756054540618-image.jpeg | User: Anonymous | Status: 304 | 0ms {"timestamp":"2025-08-28T05:28:22.644Z"}
info: GET /uploads/1756054592501-image.jpeg | User: Anonymous | Status: 304 | 1ms {"timestamp":"2025-08-28T05:28:22.645Z"}
info: GET /uploads/1756099045626-image.jpeg | User: Anonymous | Status: 304 | 1ms {"timestamp":"2025-08-28T05:28:22.645Z"}
info: GET /uploads/1756094784290-image.jpeg | User: Anonymous | Status: 304 | 0ms {"timestamp":"2025-08-28T05:28:22.645Z"}
info: GET /uploads/1756101152515-image.jpeg | User: Anonymous | Status: 304 | 1ms {"timestamp":"2025-08-28T05:28:22.646Z"}
info: GET /uploads/1756094809715-image.jpeg | User: Anonymous | Status: 304 | 1ms {"timestamp":"2025-08-28T05:28:22.647Z"}
info: GET /uploads/1755679093845-image.webp | User: Anonymous | Status: 304 | 1ms {"timestamp":"2025-08-28T05:28:22.647Z"}
info: GET /uploads/1756101251294-image.webp | User: Anonymous | Status: 304 | 1ms {"timestamp":"2025-08-28T05:28:22.647Z"}
info: GET /uploads/1755952069305-image.webp | User: Anonymous | Status: 304 | 1ms {"timestamp":"2025-08-28T05:28:22.648Z"}
info: GET /uploads/1755763343674-image.webp | User: Anonymous | Status: 304 | 0ms {"timestamp":"2025-08-28T05:28:22.648Z"}
info: GET /uploads/1755678081309-image.webp | User: Anonymous | Status: 304 | 0ms {"timestamp":"2025-08-28T05:28:22.648Z"}
